C_Pt [M],C_Rh [M],q_Rh [mol Rh/mol ddFc]
0.0,0.0018000000000000002,0.003061619235559862
4.522613065326634e-05,0.0018000000000000002,0.0030149427938674467
9.045226130653268e-05,0.0018000000000000002,0.0029696682073621096
0.000135678391959799,0.0018000000000000002,0.002925733256528654
0.00018090452261306536,0.0018000000000000002,0.002883079350214606
0.00022613065326633171,0.0018000000000000002,0.002841651264943461
0.000271356783919598,0.0018000000000000002,0.002801396906384998
0.00031658291457286437,0.0018000000000000002,0.0027622670908162422
0.0003618090452261307,0.0018000000000000002,0.002724215344645398
0.0004070351758793971,0.0018000000000000002,0.0026871977202806326
0.00045226130653266343,0.0018000000000000002,0.002651172626809848
0.0004974874371859297,0.0018000000000000002,0.002616100674119925
0.000542713567839196,0.0018000000000000002,0.0025819445292271552
0.0005879396984924624,0.0018000000000000002,0.0025486687837172435
0.0006331658291457287,0.0018000000000000002,0.0025162398313053626
0.0006783919597989951,0.0018000000000000002,0.002484625754626247
0.0007236180904522614,0.0018000000000000002,0.002453796220452602
0.0007688442211055277,0.0018000000000000002,0.002423722382618779
0.0008140703517587941,0.0018000000000000002,0.0023943767919966294
0.0008592964824120604,0.0018000000000000002,0.0023657333129330324
0.0009045226130653269,0.0018000000000000002,0.0023377670456143514
0.0009497487437185932,0.0018000000000000002,0.002310454253873135
0.0009949748743718595,0.0018000000000000002,0.00228377229799709
0.0010402010050251259,0.0018000000000000002,0.002257699572140589
0.001085427135678392,0.0018000000000000002,0.002232215445975035
0.0011306532663316585,0.0018000000000000002,0.0022073002102469034
0.0011758793969849249,0.0018000000000000002,0.00218293502594151
0.0012211055276381913,0.0018000000000000002,0.002159101876776944
0.0012663316582914575,0.0018000000000000002,0.002135783524776401
0.0013115577889447239,0.0018000000000000002,0.0021129634686886723
0.0013567839195979903,0.0018000000000000002,0.002090625905046026
0.0014020100502512565,0.0018000000000000002,0.0020687556916663486
0.0014472361809045229,0.0018000000000000002,0.002047338313422415
0.0014924623115577893,0.0018000000000000002,0.0020263598501156672
0.0015376884422110555,0.0018000000000000002,0.002005806946305089
0.0015829145728643219,0.0018000000000000002,0.0019856667829537588
0.0016281407035175883,0.0018000000000000002,0.0019659270507665833
0.0016733668341708545,0.0018000000000000002,0.001946575925102703
0.001718592964824121,0.0018000000000000002,0.0019276020423551101
0.0017638190954773873,0.0018000000000000002,0.0019089944776983455
0.0018090452261306537,0.0018000000000000002,0.0018907427241127094
0.00185427135678392,0.0018000000000000002,0.0018728366726003661
0.0018994974874371863,0.0018000000000000002,0.0018552665935150695
0.0019447236180904527,0.0018000000000000002,0.00183802311893305
0.001989949748743719,0.0018000000000000002,0.0018210972259979621
0.002035175879396985,0.0018000000000000002,0.00180448022117766
0.0020804020100502517,0.0018000000000000002,0.0017881637253751013
0.002125628140703518,0.0018000000000000002,0.0017721396598397898
0.002170854271356784,0.0018000000000000002,0.0017564002328299953
0.0022160804020100507,0.0018000000000000002,0.0017409379269794766
0.002261306532663317,0.0018000000000000002,0.0017257454873256814
0.0023065326633165835,0.0018000000000000002,0.0017108159099593556
0.0023517587939698497,0.0018000000000000002,0.0016961424312582644
0.002396984924623116,0.0018000000000000002,0.0016817185176702433
0.0024422110552763826,0.0018000000000000002,0.001667537856013165
0.0024874371859296487,0.0018000000000000002,0.0016535943442615576
0.002532663316582915,0.0018000000000000002,0.0016398820827916293
0.0025778894472361816,0.0018000000000000002,0.0016263953660583118
0.0026231155778894477,0.0018000000000000002,0.0016131286746796489
0.002668341708542714,0.0018000000000000002,0.0016000766679054607
0.0027135678391959806,0.0018000000000000002,0.0015872341764486982
0.0027587939698492468,0.0018000000000000002,0.001574596195659268
0.002804020100502513,0.0018000000000000002,0.001562157879021391
0.0028492462311557796,0.0018000000000000002,0.0015499145319567468
0.0028944723618090458,0.0018000000000000002,0.001537861605916758
0.002939698492462312,0.0018000000000000002,0.0015259946927483968
0.0029849246231155786,0.0018000000000000002,0.0015143095193188496
0.0030301507537688448,0.0018000000000000002,0.001502801942385273
0.003075376884422111,0.0018000000000000002,0.0014914679436966996
0.0031206030150753776,0.0018000000000000002,0.0014803036253159348
0.0031658291457286438,0.0018000000000000002,0.001469305205149993
0.00321105527638191,0.0018000000000000002,0.001458469012678318
